id,score,price,stock_counter,candidate,status,stop_loss,next_3_months,type,value,growth,momentum,vgm,rank,last_updated
PLAY,"
9.34
",$40.61 ,PLAY - Dave & Buster,Strong Buy Candidate,Unchanged, $39.16 (-3.56%),,top candiates,,,,,,
AMRS,"
8.96
",$16.72 ,AMRS - Amyris,Strong Buy Candidate,Unchanged, $16.13 (-3.52%),,top candiates,,,,,,
ABR,"
8.96
",$16.36 ,ABR - Arbor Realty Trust,Strong Buy Candidate,Unchanged, $15.79 (-3.50%),,top candiates,,,,,,
TAIT,"
8.91
",$5.09 ,TAIT - Taitron Components Incorporated,Strong Buy Candidate,Upgraded, $4.90 (-3.64%),,top candiates,,,,,,
BCO,"
8.87
",$76.00 ,BCO - Brink's Company (The),Strong Buy Candidate,Upgraded, $72.58 (-4.50%),,top candiates,,,,,,
MAT,"
8.82
",$19.46 ,MAT - Mattel,Strong Buy Candidate,Upgraded, $18.44 (-5.24%),20.53%,top candiates,,,,,,
CLSN,"
8.72
",$2.81 ,CLSN - Celsion Corporation,Strong Buy Candidate,Upgraded, $2.71 (-3.56%),,top candiates,,,,,,
BYD,"
8.71
",$56.88 ,BYD - Boyd Gaming Corporation,Strong Buy Candidate,Upgraded, $54.93 (-3.42%),,top candiates,,,,,,
LKFN,"
8.71
",$66.91 ,LKFN - Lakeland Financial Corporation,Strong Buy Candidate,Unchanged, $64.59 (-3.46%),,top candiates,,,,,,
CLNY,"
8.68
",$5.90 ,"CLNY - Colony Capital, Inc.",Strong Buy Candidate,Upgraded, $5.69 (-3.49%),,top candiates,,,,,,
CB,"
8.66
",$168.56 ,CB - D/B/A Chubb Limited New,Strong Buy Candidate,Upgraded, $161.19 (-4.37%),,top candiates,B,B,B,B,Top 42% (105 out of 253),4/20/21
STAR,"
8.62
",$16.98 ,STAR - iStar Financial Inc,Strong Buy Candidate,Upgraded, $16.27 (-4.17%),,top candiates,,,,,,
FULT,"
8.62
",$15.64 ,FULT - Fulton Financial Corporation,Strong Buy Candidate,Upgraded, $15.06 (-3.73%),,top candiates,,,,,,
CHDN,"
8.59
",$226.42 ,CHDN - Churchill Downs,Strong Buy Candidate,Upgraded, $217.01 (-4.16%),,top candiates,D,C,F,D,Bottom 22% (198 out of 253),2/24/21
KRTX,"
8.59
",$128.99 ,"KRTX - Karuna Therapeutics, Inc.",Strong Buy Candidate,Upgraded, $124.48 (-3.50%),,top candiates,,,,,,
COO,"
8.55
",$390.67 ,COO - Cooper Companies Inc (The),Strong Buy Candidate,Upgraded, $373.32 (-4.44%),16.84%,top candiates,,,,,,
GES,"
8.48
",$26.45 ,GES - Guess? Inc,Strong Buy Candidate,Unchanged, $25.51 (-3.54%),42.36%,top candiates,,,,,,
TMDX,"
8.47
",$38.69 ,TMDX - TransMedics Group Inc.,Strong Buy Candidate,Unchanged, $37.39 (-3.36%),,top candiates,,,,,,
SPNE,"
8.44
",$18.86 ,SPNE - SeaSpine Holdings Corporation,Strong Buy Candidate,Upgraded, $18.20 (-3.52%),17.35%,top candiates,,,,,,
